Subject Path: /work/pl/sch/analysis/data/COBRE001/swaAMAYER+cobre01_63001+M87100944+20110309at135133+RSTpre_V01_R01+CM.nii
[1, 53, 1, 1, 1] 0 (1, 53, 53)
[1, 53, 63, 1, 1] 1 (53, 63, 63)
[1, 53, 63, 63, 1] 2 (63, 46, 63)
ranks: [1, 53, 63, 63, 1]
A Tensor Train variable of shape (53, 63, 46, 144), TT-ranks: (1, 53, 63, 63, 1)
[1, 53, 1, 1, 1] 0 (1, 53, 53)
(655615100000.0, 204, 0.01694456, 0.016961867, 0.01000083)
(642530400000.0, 205, 0.016774619, 0.01679245, 0.010029195)
(629688300000.0, 206, 0.016606137, 0.016624633, 0.010043855)
(617210800000.0, 207, 0.016440785, 0.016458359, 0.009957318)
(604932500000.0, 208, 0.016276434, 0.016293885, 0.009996512)
(592841800000.0, 209, 0.016112955, 0.016130827, 0.010043894)
(581023560000.0, 210, 0.015951542, 0.015969653, 0.010017598)
(569494500000.0, 211, 0.015792489, 0.015810087, 0.009971019)
(558152700000.0, 212, 0.01563444, 0.015652264, 0.010007869)
(547018100000.0, 213, 0.015477709, 0.015495742, 0.01002475)
(536150380000.0, 214, 0.015323187, 0.015340903, 0.009983475)
(525475800000.0, 215, 0.015169881, 0.015187665, 0.010004833)
(515039850000.0, 216, 0.015018488, 0.015035893, 0.009979841)
(504760900000.0, 217, 0.014867866, 0.014885216, 0.010029096)
(494708000000.0, 218, 0.014719067, 0.014736325, 0.010008112)
(484813280000.0, 219, 0.014571125, 0.014588764, 0.010051075)
(475169360000.0, 220, 0.014425471, 0.014442936, 0.00999602)
(465692430000.0, 221, 0.014280894, 0.014298475, 0.010022382)
(456451000000.0, 222, 0.014138485, 0.014155753, 0.009971962)
(447345200000.0, 223, 0.01399675, 0.014014112, 0.010024779)
(438414870000.0, 224, 0.013856337, 0.0138738025, 0.010031808)
(429692100000.0, 225, 0.0137178, 0.013734989, 0.009998099)
(421126860000.0, 226, 0.013580391, 0.013597637, 0.010016853)
(412719680000.0, 227, 0.013444152, 0.013461533, 0.010032072)
(404485770000.0, 228, 0.013309368, 0.01332688, 0.010025459)
(396396000000.0, 229, 0.013175601, 0.013193418, 0.010050574)
(388500420000.0, 230, 0.013043722, 0.013061413, 0.010009334)
(380790280000.0, 231, 0.0129136415, 0.012930764, 0.009972661)
(373195000000.0, 232, 0.012784205, 0.012801338, 0.01002321)
(365763070000.0, 233, 0.01265627, 0.012673471, 0.010007331)
(358448070000.0, 234, 0.012529072, 0.012546541, 0.010050137)
(351326570000.0, 235, 0.012403986, 0.012420995, 0.009983655)
(344339050000.0, 236, 0.012280016, 0.012296523, 0.009994385)
(337468720000.0, 237, 0.012156893, 0.012173425, 0.010026341)
(330726380000.0, 238, 0.012034837, 0.012051587, 0.010040017)
(324098850000.0, 239, 0.011913642, 0.011930947, 0.010070337)
(317660100000.0, 240, 0.011794707, 0.011811706, 0.0099831335)
(311327160000.0, 241, 0.011676544, 0.011693402, 0.010018264)
(305120940000.0, 242, 0.011559574, 0.011576341, 0.010017552)
(299014950000.0, 243, 0.011443326, 0.011460556, 0.010056399)
(293059100000.0, 244, 0.011328787, 0.011345953, 0.010009296)
(287259600000.0, 245, 0.011216131, 0.011232451, 0.009944187)
(281520440000.0, 246, 0.011103522, 0.0111201275, 0.010039915)
(275895400000.0, 247, 0.0109920325, 0.011008962, 0.010040918)
(270396560000.0, 248, 0.010881942, 0.010898816, 0.010015501)
(264956970000.0, 249, 0.010771929, 0.010789316, 0.010109637)
(259692220000.0, 250, 0.010664372, 0.010681423, 0.009984981)
(254513920000.0, 251, 0.010557512, 0.010574359, 0.0100202765)
(249473630000.0, 252, 0.010452451, 0.010468439, 0.009951268)
(244470250000.0, 253, 0.010347104, 0.010363833, 0.010078735)
(239647950000.0, 254, 0.010244545, 0.01026044, 0.009911866)
(234878780000.0, 255, 0.010142095, 0.01015766, 0.010000368)
(230184300000.0, 256, 0.01004023, 0.0100560365, 0.010043809)
(225590230000.0, 257, 0.009939533, 0.009955289, 0.01002939)
(221082160000.0, 258, 0.009839718, 0.00985566, 0.010042172)
(216690180000.0, 259, 0.009741491, 0.009757212, 0.009982757)
(212328380000.0, 260, 0.009642948, 0.0096594365, 0.010115732)
(208113610000.0, 261, 0.009546761, 0.009562421, 0.009974853)
(203952520000.0, 262, 0.009450839, 0.009466579, 0.010047648)
(199886950000.0, 263, 0.009356168, 0.00937186, 0.0100171855)
(195893700000.0, 264, 0.0092622405, 0.009278083, 0.010039111)
(191978600000.0, 265, 0.009169216, 0.009185272, 0.010043383)
(188132160000.0, 266, 0.009076895, 0.00909328, 0.01006859)
(184382280000.0, 267, 0.008985979, 0.009002213, 0.010016271)
(180681200000.0, 268, 0.008895335, 0.0089122625, 0.010087244)
(177075210000.0, 269, 0.008806122, 0.008822881, 0.010029218)
(173548780000.0, 270, 0.008717995, 0.008734505, 0.010007402)
(170074870000.0, 271, 0.0086303, 0.008647236, 0.0100591015)
(166665360000.0, 272, 0.008543355, 0.008560726, 0.010074337)
(163360000000.0, 273, 0.008458214, 0.0084748855, 0.0099658165)
(160098350000.0, 274, 0.00837335, 0.008390139, 0.010033321)
(156902460000.0, 275, 0.008289354, 0.008305932, 0.010031347)
(153780940000.0, 276, 0.008206483, 0.008222665, 0.009997275)
(150701830000.0, 277, 0.00812391, 0.008140115, 0.010061913)
(147696220000.0, 278, 0.008042489, 0.008058553, 0.010022376)
(144770560000.0, 279, 0.0079624355, 0.0079778265, 0.009953845)
(141860810000.0, 280, 0.007882011, 0.007897772, 0.010100473)
(139010300000.0, 281, 0.0078024194, 0.007818834, 0.0100978995)
(136252360000.0, 282, 0.0077246325, 0.0077404943, 0.009969582)
(133539730000.0, 283, 0.0076473514, 0.0076629655, 0.010004508)
(130864360000.0, 284, 0.0075703594, 0.007586203, 0.010067795)
(128258925000.0, 285, 0.0074946196, 0.0075102425, 0.010004784)
(125681705000.0, 286, 0.00741894, 0.007434838, 0.010097876)
(123166695000.0, 287, 0.0073443344, 0.0073605767, 0.01005608)
(120715960000.0, 288, 0.0072708996, 0.007286883, 0.009998835)
(118311070000.0, 289, 0.00719811, 0.007213957, 0.0100110555)
(115944500000.0, 290, 0.007125755, 0.0071415906, 0.010051997)
(113625810000.0, 291, 0.0070541436, 0.007070189, 0.010049637)
(111360800000.0, 292, 0.0069834813, 0.0069992677, 0.010017125)
(109122880000.0, 293, 0.006912955, 0.0069291536, 0.010099012)
(106939840000.0, 294, 0.0068434575, 0.0068599177, 0.0100532435)
(104814960000.0, 295, 0.006775127, 0.0067913807, 0.009984817)
(102732685000.0, 296, 0.0067074914, 0.006723219, 0.0099829035)
(100679110000.0, 297, 0.0066401134, 0.006655993, 0.010045175)
(98659280000.0, 298, 0.0065731686, 0.006589376, 0.010081885)
(96682050000.0, 299, 0.0065069688, 0.0065231714, 0.010071217)
(94735650000.0, 300, 0.006441137, 0.006457736, 0.010117143)
(92871310000.0, 301, 0.006377443, 0.0063929656, 0.009888568)
(91012950000.0, 302, 0.006313314, 0.006328951, 0.010055599)
(89192640000.0, 303, 0.0062498604, 0.006265599, 0.010050791)
(87407680000.0, 304, 0.0061870073, 0.006202802, 0.01005672)
(85659800000.0, 305, 0.006124834, 0.0061404505, 0.010048999)
(83946500000.0, 306, 0.0060632727, 0.0060789804, 0.010051105)
(82256270000.0, 307, 0.006001922, 0.0060179895, 0.010118443)
(80618440000.0, 308, 0.0059418683, 0.0059576286, 0.010005719)
(78996650000.0, 309, 0.0058817985, 0.005897916, 0.010109588)
(77427745000.0, 310, 0.005823098, 0.005838817, 0.009979997)
(75873845000.0, 311, 0.0057643703, 0.005780225, 0.010085319)
(74358440000.0, 312, 0.0057065147, 0.005722014, 0.010036764)
(72856400000.0, 313, 0.005648585, 0.0056647663, 0.010151496)
(71410200000.0, 314, 0.0055922414, 0.0056080394, 0.00997482)
(69971650000.0, 315, 0.0055356277, 0.005551764, 0.010123615)
(68570706000.0, 316, 0.0054799314, 0.0054960996, 0.010061434)
(67201560000.0, 317, 0.005424947, 0.005440992, 0.010033767)
(65864490000.0, 318, 0.0053707073, 0.005386347, 0.009998211)
(64540060000.0, 319, 0.005316435, 0.0053323857, 0.010105253)
(63244374000.0, 320, 0.0052627986, 0.005278839, 0.010088765)
(61983994000.0, 321, 0.005210094, 0.0052262065, 0.010014534)
(60756505000.0, 322, 0.005158248, 0.005174148, 0.009951118)
(59548094000.0, 323, 0.0051066927, 0.0051223855, 0.009994716)
(58361700000.0, 324, 0.005055566, 0.0050710584, 0.010011728)
(57197662000.0, 325, 0.005004895, 0.005020383, 0.010022801)
(56067190000.0, 326, 0.004955189, 0.0049702306, 0.009931494)
(54951027000.0, 327, 0.004905618, 0.004920386, 0.010003865)
(53852830000.0, 328, 0.0048563513, 0.004871196, 0.010042873)
(52772300000.0, 329, 0.004807384, 0.0048223864, 0.010083101)
(51718255000.0, 330, 0.004759132, 0.004774029, 0.0100371195)
(50667850000.0, 331, 0.0047105546, 0.0047260476, 0.010207181)
(49636413000.0, 332, 0.004662362, 0.0046784184, 0.010230788)
(48644480000.0, 333, 0.0046155406, 0.00463141, 0.010042402)
(47681634000.0, 334, 0.0045696334, 0.004584892, 0.009946228)
(46723560000.0, 335, 0.0045234915, 0.0045391005, 0.010097508)
(45789905000.0, 336, 0.004478068, 0.0044937325, 0.010041667)
(44873273000.0, 337, 0.00443302, 0.004448597, 0.0100597115)
